
COORDINATES ARE EAST,NORTH,UP.
stress tensors are:
X Y See Sen Seu Snn Snu Suu
  0   0  1.102113 -0.330790  0.207618  0.221042 -0.030961 -1.323155
  0   1  1.117429 -0.269619  0.183848  0.167319 -0.008401 -1.284748
  0   2  1.163504 -0.307052  0.150911  0.112502  0.038948 -1.276006
  0   3  1.183897 -0.276501  0.069502  0.144604  0.030333 -1.328502
  0   4  1.178252 -0.281141  0.059003  0.152499  0.026599 -1.330751
  0   5  1.203587 -0.332542  0.120229  0.223781  0.076172 -1.427368
  0   6  1.203587 -0.332542  0.120229  0.223781  0.076172 -1.427368
  0   7  1.203587 -0.332542  0.120229  0.223781  0.076172 -1.427368
  0   8  1.263490 -0.365922  0.286451  0.134323  0.132578 -1.397813
  0   9  1.263490 -0.365922  0.286451  0.134323  0.132578 -1.397813
  0  10  1.263490 -0.365922  0.286451  0.134323  0.132578 -1.397813
  0  11  1.267675 -0.275523  0.403395  0.087407  0.303337 -1.355082
  0  12  1.246254 -0.234234  0.396404  0.059925  0.296653 -1.306179
  0  13  1.210625 -0.220617  0.325497  0.038135  0.361876 -1.248761
  0  14  1.184773 -0.120395  0.222018  0.049047  0.476083 -1.233820
  0  15  1.170103  0.090001  0.183650  0.067328  0.483181 -1.237431
  0  16  1.261046  0.059588  0.258488  0.104496  0.569495 -1.365541
  0  17  0.916176  0.194811  0.114004  0.302895  0.831034 -1.219072
  0  18  1.191931 -0.316242  0.252769 -0.441951  0.191900 -0.749980
  0  19  1.085157 -0.195996  0.178795 -0.251106  0.132194 -0.834052
  0  20  1.238868 -0.151158  0.222274 -0.289072  0.231105 -0.949796
  0  21  1.206889  0.079370  0.554728 -0.278997  0.201485 -0.927892
  0  22  1.129597 -0.108214  0.598845 -0.257381  0.149679 -0.872216
  0  23  1.155330 -0.212288  0.620591 -0.259823  0.133158 -0.895507
  0  24  1.155330 -0.212288  0.620591 -0.259823  0.133158 -0.895507
  0  25  1.096785 -0.271268  0.387414 -0.217393  0.036950 -0.879392
  0  26  1.099925 -0.292661  0.372528 -0.256061 -0.111692 -0.843864
  0  27  1.161909 -0.248921  0.390404 -0.241773 -0.038936 -0.920135
  0  28  1.170300 -0.215316  0.358926 -0.170550 -0.032413 -0.999750
  0  29  0.988647 -0.357646  0.114611 -0.151401  0.003743 -0.837246
